index,notes
0,"Hook is a bit salesy

Failed to number items in listicle.

Model invents CTA"
1,"Failed to number items in listicle.
"
2,"Content is a bit overwhelming. 3-5 tips would be good enough

Invents CTA"
3,Invents CTA
4,"Too many steps

Invents CTA"
5,"""No hacks"" - bad voice

Lessons should be numbered. Also too much content. 3-5 is good.

Invents CTA"
6,"Fails to number listicle items

Should separate project name and description with new line

Invents CTA"
7,Invents celebration BTS and live Q&A
8,"Hook should be 2 lines instead of 3.

Invents project ideas but not too bad

Invents project and what's inside details"
9,"Bad structure. Fails to number listicle items.

Hook is a little long (should be 2 lines)"
10,I'd separate Software labels from descriptions but mostly good
11,"Fails to number listicle items

Invents CTA

Project names and descriptions should be separated with new lines"
12,"Tip labels and description should be separated by new line

Invents CTA

Story description is not what I had in mind"
13,"Invents video details

Video can just be linked in post"
14,"Tricolon - bad voice

Text after em dash can be line 2

Step labels are too long

Invents CTA"
15,"Bad Hook because it is not very relatable

Hook is also very long. It should just be two lines.

Body is too long

Invents video detail details

Blog can just be linked in post"
16,Fails to number listicle items
17,"Invents CTA

Body is too long

Invents video detail details"
18,nan
19,"Fails to number listicle items

CTA could be better"
20,"Invents revenue breakdown, but still OK

Invents CTA"
21,Invents prompts
22,"Body is too long. It could just be two lines.

Invents video details

Blog can just be linked in post"
23,"Body is too long.

Invents video details

Video can just be linked in post"
24,"Tricolon

Invents details

Body is too long. If anything it should number module items"
25,"Body is too long. Should just bullets/numbers to structure.

Invents blog details

Blog can just be linked in post"
26,"Invent book details

Fails to get that two books are mentioned

Invents CTA"
27,"Fails to number listicle items

Invents blog details

Blog can just be linked in post"
28,"Body is too long.

CTA is too complex should just be blog link

Blog can just be linked in post"
29,"""No-fluff"" - bad voice

Body is too long

Invents blog details

Blog can just be linked in post"
